"средняя цена за кв. м, ₽",класс_проекта,Долгота,Широта
270779.8317411715,Комфорт,55.593597179089,37.44859794036
260906.550184195,Комфорт,55.5950236,37.4431596
280535.94077130966,Комфорт,55.582970018867,37.4681229558
251994.35517221474,Комфорт,55.5950236,37.4431596
273230.10381262534,Комфорт,55.5950236,37.4431596
254947.4429153076,Комфорт,55.5950236,37.4431596
249518.15403757,Комфорт,55.5950236,37.4431596
254820.04567008087,Комфорт,55.59380060788,37.447975164954
123327.88530777601,Комфорт,55.529926986985,37.167630756561
125058.02099432418,Комфорт,55.534319720605,37.188867760917
118757.73636884773,Комфорт,55.534319720605,37.188867760917
123872.65438138737,Комфорт,54.3239015,37.5630817
129950.4272968007,Комфорт,54.3239015,37.5630817
129354.90367311584,Комфорт,55.529926986985,37.167630756561
186370.15187277854,Комфорт,52.368808082477,30.977254207701
215933.5359916896,Комфорт,52.368808082477,30.977254207701
220851.5347768689,Комфорт,52.368808082477,30.977254207701
214496.9728671487,Комфорт,52.368808082477,30.977254207701
249533.85660071584,Комфорт,55.612604,37.222951
254869.6702926094,Комфорт,55.592256,37.474884
243610.8792878554,Комфорт,55.365607,38.208448
212191.5449314156,Комфорт,55.618908,37.389706
211555.83805013992,Комфорт,55.516114,37.489985
210110.14538343178,Комфорт,55.610102,37.353629
215699.1930081832,Комфорт,55.6339535,37.3343402
251533.1168031842,Комфорт,55.6339535,37.3343402
224567.34313636037,Комфорт,55.6339535,37.3343402
193913.1007435111,Комфорт,55.6339535,37.3343402
277954.8416418039,Комфорт,55.6339535,37.3343402
294801.28216137254,Комфорт,53.938518092472,49.359994176941
250517.10986545536,Комфорт,53.938518092472,49.359994176941
246743.85951493448,Комфорт,53.938518092472,49.359994176941
245999.01799032002,Комфорт,53.938518092472,49.359994176941
251900.7337619583,Комфорт,53.938518092472,49.359994176941
239852.7726435111,Комфорт,53.938518092472,49.359994176941
205080.98469772187,Комфорт,53.938518092472,49.359994176941
213464.86966474142,Комфорт,53.938518092472,49.359994176941
210186.22053111182,Комфорт,53.938518092472,49.359994176941
214365.54396820912,Комфорт,53.938518092472,49.359994176941
202482.68220402088,Комфорт,53.938518092472,49.359994176941
203253.24547974323,Комфорт,53.938518092472,49.359994176941
204578.81396459538,Комфорт,53.938518092472,49.359994176941
191240.2347030759,Комфорт,53.938518092472,49.359994176941
184504.11604155437,Комфорт,53.938518092472,49.359994176941
191417.04097007154,Комфорт,53.938518092472,49.359994176941
179875.81040086102,Комфорт,53.938518092472,49.359994176941
275870.79872417846,Комфорт,55.6221133,37.4260893
238769.20546177035,Комфорт,55.6221133,37.4260893
225701.5856040109,Комфорт,55.6221133,37.4260893
219998.81953275215,Комфорт,55.6221133,37.4260893
200580.52773007777,Комфорт,55.613326,37.410726
262190.82120442705,Комфорт,55.613326,37.410726
206489.60444133863,Комфорт,55.613326,37.410726
191345.50407307013,Комфорт,55.613326,37.410726
184670.5620477797,Комфорт,55.613326,37.410726
225254.50050742377,Комфорт,55.613326,37.410726
277884.973706947,Комфорт,55.604123269974,37.437975430518
188264.8720417097,Комфорт,55.548527882141,37.462561317578
300983.5829162471,Комфорт,55.561134006122,37.473187644613
236636.63925695463,Комфорт,55.551127873305,37.460062257716
219979.1318634624,Комфорт,55.551127873305,37.460062257716
279804.6412133981,Комфорт,55.551127873305,37.460062257716
262885.1145751509,Комфорт,55.551127873305,37.460062257716
255336.72184612812,Комфорт,55.551127873305,37.460062257716
221851.8580962138,Комфорт,55.551127873305,37.460062257716
212127.0,Комфорт,55.551127873305,37.460062257716
262409.53985700925,Комфорт,55.551127873305,37.460062257716
239418.0675211905,Комфорт,55.551127873305,37.460062257716
245535.6700516827,Комфорт,55.551127873305,37.460062257716
215136.88336388033,Комфорт,55.548935,37.461364
212863.94424145872,Комфорт,55.548527882141,37.462561317578
204383.83688720464,Комфорт,55.548527882141,37.462561317578
199859.09818318754,Комфорт,55.548935,37.461364
218102.3394026309,Комфорт,55.548527882141,37.462561317578
224138.32349297128,Комфорт,55.548935,37.461364
215115.22100529374,Комфорт,55.548527882141,37.462561317578
260590.3820149826,Комфорт,52.246422267719,104.109362625457
246776.3314203028,Комфорт,52.264989885198,104.172421325477
259638.74251251764,Комфорт,52.26471906261,104.173399346519
267839.29032060143,Комфорт,52.264488906257,104.174771031446
269198.38737338665,Комфорт,52.244782360385,104.105542252821
265655.4822064205,Комфорт,52.246422267719,104.109362625457
277487.7411935316,Комфорт,52.264989885198,104.172421325477
264310.7403619589,Комфорт,52.26471906261,104.173399346519
242575.8272331548,Комфорт,52.264488906257,104.174771031446
258885.03276370445,Комфорт,52.244782360385,104.105542252821
270237.2850572821,Комфорт,52.244385354305,104.108004268531
285500.50601559127,Комфорт,52.244904806099,104.106747298869
266554.3178771325,Комфорт,52.246422267719,104.109362625457
265980.0437123553,Комфорт,52.264989885198,104.172421325477
268781.5274301291,Комфорт,52.26471906261,104.173399346519
235325.0038110667,Комфорт,52.264488906257,104.174771031446
227064.71553468655,Комфорт,52.244782360385,104.105542252821
223273.89558668568,Комфорт,52.244385354305,104.108004268531
203228.13182952304,Комфорт,52.244904806099,104.106747298869
246138.77689231644,Комфорт,52.265197994311,104.176506001584
264034.9235736384,Комфорт,52.264441988554,104.172258975064
246540.02707596385,Комфорт,52.264394002158,104.174011966295
235551.28206942527,Комфорт,52.265018705402,104.176713118412
236545.18308675048,Комфорт,52.264293000225,104.172510013065
226693.27314862126,Комфорт,52.264512983274,104.173363039351
263284.0428181936,Комфорт,52.265018705402,104.176713118412
255383.2913342571,Комфорт,52.264293000225,104.172510013065
265906.01100440277,Комфорт,52.265197994311,104.176506001584
254706.76454990794,Комфорт,52.264441988554,104.172258975064
265378.0603409099,Комфорт,52.264884217766,104.17670892746
249669.23086716933,Комфорт,52.264152016614,104.172725008881
241629.90447003383,Комфорт,55.615527,37.482358
229937.84950437574,Комфорт,55.615527,37.482358
238337.8912333998,Комфорт,55.615527,37.482358
250518.60988493846,Комфорт,55.615527,37.482358
247779.3728712327,Комфорт,55.615527,37.482358
264989.2258599884,Комфорт,55.615527,37.482358
241021.72337007936,Комфорт,55.615527,37.482358
236969.4229934314,Комфорт,55.615527,37.482358
239986.30156682545,Комфорт,55.615527,37.482358
233710.68161879596,Комфорт,55.615527,37.482358
231561.82398464487,Комфорт,55.615527,37.482358
219916.5689957809,Комфорт,55.615527,37.482358
258595.38302934507,Комфорт,55.615527,37.482358
213137.1375028899,Комфорт,55.615527,37.482358
260151.04786099237,Комфорт,55.615527,37.482358
253451.7393451169,Комфорт,55.615527,37.482358
234829.46886443318,Комфорт,55.615527,37.482358
222350.26453504205,Комфорт,55.562128,37.472728
215833.33226199241,Комфорт,55.562128,37.472728
194778.21447293423,Комфорт,55.562128,37.472728
219032.29430104134,Комфорт,55.562398,37.472261
231598.6022185398,Комфорт,55.562398,37.472261
200954.48837089248,Комфорт,55.562398,37.472261
202677.2440529578,Комфорт,55.562398,37.472261
205181.39080453446,Комфорт,55.562398,37.472261
196443.48358172626,Комфорт,55.562047,37.472027
200723.62194585786,Комфорт,55.562047,37.472027
211430.43397565302,Комфорт,55.562047,37.472027
214299.22473174008,Комфорт,55.562047,37.472027
222135.45927363605,Комфорт,55.562047,37.472027
219573.13305400035,Комфорт,55.562266,37.471174
193628.74804741878,Комфорт,55.562266,37.471174
194319.9599519674,Комфорт,55.562266,37.471174
194189.99177326864,Комфорт,55.562266,37.471174
225155.10597380938,Комфорт,55.562195,37.47103
223492.0355050168,Комфорт,55.562195,37.47103
222052.43928401216,Комфорт,55.562195,37.47103
197840.47190477236,Комфорт,55.562195,37.47103
197874.24562128936,Комфорт,55.562195,37.47103
197968.96269903792,Комфорт,55.562195,37.47103
222907.88314603997,Комфорт,55.56196,37.47086
219622.2501199766,Комфорт,55.56196,37.47086
189664.91849812865,Комфорт,55.56196,37.47086
187806.88429810666,Комфорт,55.56196,37.47086
188594.52372887355,Комфорт,55.562485,37.469934
160062.30043892056,Комфорт,55.562485,37.469934
203110.61191938128,Комфорт,55.562485,37.469934
182603.26278312822,Комфорт,55.562485,37.469934
196941.1514188342,Комфорт,55.565346857982,37.319920762878
194582.38035142538,Комфорт,55.565346857982,37.319920762878
168525.86849667586,Комфорт,55.565346857982,37.319920762878
186272.80610478634,Комфорт,55.565346857982,37.319920762878
185465.8901941039,Комфорт,55.565346857982,37.319920762878
200168.49474442247,Комфорт,55.565346857982,37.319920762878
199341.31885221766,Комфорт,55.5504684,37.32748
262773.9888939608,Комфорт,55.724773,37.163231
235444.32573555136,Комфорт,55.554506,37.505517
246188.72194776736,Комфорт,55.554506,37.505517
277812.71767882095,Комфорт,55.554506,37.505517
256665.53226897249,Комфорт,55.554506,37.505517
269326.920074975,Комфорт,55.55473,37.498366
262024.95648260435,Комфорт,55.59341,37.16492
263131.00256699795,Комфорт,55.55473,37.498366
242505.19639650694,Комфорт,55.555148,37.502543
235723.02922896788,Комфорт,55.555148,37.502543
234960.95502941235,Комфорт,55.555148,37.502543
265748.87661422044,Комфорт,55.555474,37.507807
241643.80283843575,Комфорт,55.555474,37.507807
235424.4455617417,Комфорт,55.555474,37.507807
286168.51012961083,Комфорт,55.555474,37.507807
220743.56471175,Комфорт,55.555474,37.507807
208213.01956427196,Комфорт,55.475664,37.507313
210160.83509769756,Комфорт,55.475786,37.507133
216089.7213449238,Комфорт,55.476276,37.5069
204035.26799941956,Комфорт,55.475786,37.507133
209376.1426953877,Комфорт,55.476276,37.5069
207664.17698589698,Комфорт,55.476592,37.50566
206449.82658711326,Комфорт,55.476725,37.505445
234387.44450623778,Комфорт,55.474811,37.509047
264823.3006210531,Комфорт,55.474811,37.509047
245175.02794289985,Комфорт,55.478317,37.504286
233031.24797334772,Комфорт,55.475664,37.507313
212251.88399966474,Комфорт,55.475536,37.507628
239827.9137785794,Комфорт,55.5950236,37.4431596
220171.9236628311,Комфорт,55.5950236,37.4431596
248578.85025722242,Комфорт,55.58641,37.15741
230422.09855193258,Комфорт,55.585983,37.155569
212060.47611127346,Комфорт,55.58699,37.156045
223474.7582610319,Комфорт,55.585901,37.155129
208577.55740030998,Комфорт,55.586308,37.155551
208241.82594464035,Комфорт,55.585835,37.154751
225265.24826988965,Комфорт,55.586278,37.155192
209869.26996855845,Комфорт,55.585652,37.154069
196384.8712437731,Комфорт,55.586146,37.154581
200710.03218577852,Комфорт,55.585662,37.153826
202921.32416106752,Комфорт,55.585906,37.15317
210416.94156698466,Комфорт,55.586232,37.153368
197841.54332637662,Комфорт,55.586034,37.152748
191233.3381422064,Комфорт,55.586298,37.153018
212980.08281409487,Комфорт,55.586125,37.152416
198171.1925520614,Комфорт,55.586364,37.15264
187964.37072304313,Комфорт,55.585993,37.152227
212299.74950559757,Комфорт,55.586492,37.152335
193360.96724531153,Комфорт,55.586202,37.151913
175419.238108504,Комфорт,55.205702,38.630387
220742.27747225313,Комфорт,55.586374,37.15697
193668.1681815878,Комфорт,55.586202,37.151472
199824.53522953205,Комфорт,55.586603,37.151859
189384.7647446493,Комфорт,55.586334,37.15105
190716.84705907365,Комфорт,55.586649,37.15158
243296.52639366148,Комфорт,55.586359,37.15662
256162.94528738508,Комфорт,55.585978,37.156602
230767.62458103476,Комфорт,55.207536,38.63221
243543.15727948459,Комфорт,55.585988,37.15618
214889.3883275132,Комфорт,55.207593,38.632911
203963.0396983492,Комфорт,55.560682,37.292221
209993.5960140874,Комфорт,55.586308,37.15388
209993.5960140874,Комфорт,55.564037,37.28958
161400.01083882243,Комфорт,55.564037,37.28958
242664.6284889184,Комфорт,55.564037,37.28958
215813.99791442478,Комфорт,55.613326,37.410726
242900.70444839925,Комфорт,55.613463,37.4152
