,Полный адресс,lat,lon,ближайшее_метро,расстояние_км,расстояние_м
171,"Николо-Хованское дер., д. 4.3",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
176,"Газопровод пос., к. Essense  сек. 7, этап 2 ",55.5774027,37.476878,Коммунарка,0.6295981674658245,630
178,"Рассказовка дер., Переделкино Ближнее мкр., кв-л 16, к. 4",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
181,"Московский пос., кв-л 70, уч. 78, к. 2",55.6021666,37.3466114,Рассказовка,3.628720340657154,3629
183,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.2",55.615527,37.482358,Тютчевская,0.3819371007178002,382
185,"Николо-Хованское дер., д. 4.6",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
188,"Николо-Хованское дер., д. 5.1.3",55.59573020581,37.444635982367,Прокшино,1.264939877069642,1265
189,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.4",55.615527,37.482358,Тютчевская,0.3819371007178002,382
191,"Саларьевская ул., з/у 17, к. 83.6",55.613326,37.410726,Саларьево,1.2769896679428432,1277
192,"вблизи Зимёнки дер., проект 18/2, кв-л 2, к. 2  1 оч. ",55.573164,37.385448,Прокшино,3.3679179976312374,3368
193,"Эдварда Грига ул., з/у 1-152, д. 28, к. 28.3",55.554506,37.505517,Потапово,0.8001914146237805,800
194,"Александры Монаховой ул., к. 1.4",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
195,"Первый Московский мкр., к. 1  9 оч. ",55.6030466,37.3559853,Филатов Луг,3.25871725890843,3259
196,"Газопровод пос., к. Aurora  сек. 2, этап 1 ",55.5774027,37.476878,Коммунарка,0.6295981674658245,630
198,"вблизи Зимёнки дер., проект 18/2, кв-л 2, к. 1  1 оч. ",55.573164,37.385448,Прокшино,3.3679179976312374,3368
199,"Мосрентген, Дудкино дер., д. 2",55.631885753086,37.457600752767,Румянцево,0.9913104851294757,991
200,"Сосенское пос., кв-л 26, з/у 3/3, к. 7.1.1",55.615527,37.482358,Тютчевская,0.3819371007178002,382
201,"Саларьевская ул., з/у 17, к. 83.5",55.613326,37.410726,Саларьево,1.2769896679428432,1277
203,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.1",55.615527,37.482358,Тютчевская,0.3819371007178002,382
204,"Марушкино дер., к. 1  3 оч. ",55.586522,37.217813,Аэропорт Внуково,4.961835904753917,4962
210,"Сосенское пос., кв-л 26, з/у 3/3, к. 11.1.1",55.615527,37.482358,Тютчевская,0.3819371007178002,382
212,"Столбово дер., з/у 41/1Г, д. 5, к. 5.3",55.562266,37.471174,Новомосковская,0.2842282718615343,284
213,"Столбово дер., з/у 41/1Г, д. 3, к. 3.2",55.562047,37.472027,Новомосковская,0.304388382167917,304
214,"Сосенское пос., Столбово дер., к. 3.5.3",55.551127873305,37.460062257716,Новомосковская,1.0984316745104985,1098
215,"Александры Монаховой ул., к. 2.4",55.575993591068,37.471047406883,Коммунарка,0.23527873851132605,235
217,"Александры Монаховой ул., к. 2.2",55.575993591068,37.471047406883,Коммунарка,0.23527873851132605,235
218,"Филимонковское пос., Марьинская птицефабрика ОАО тер., д. 1",55.565346857982,37.319920762878,Аэропорт Внуково,5.075604483066693,5076
220,"Любучанская ул., к. 23",55.493854,37.523761,Бунинская аллея,4.940270879688136,4940
223,"Марушкинское пос., 33 кв-л, уч. 3, д. 3, к. 3.3",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
226,"Сосенское пос., Столбово дер., к. 3.7.1",55.551127873305,37.460062257716,Новомосковская,1.0984316745104985,1098
227,"Филимонковское пос., ОАО Марьинская птицефабрика, к. 4.2",55.565346857982,37.319920762878,Аэропорт Внуково,5.075604483066693,5076
228,"вблизи Алхимово дер., д. 12",55.476276,37.5069,Бунинская аллея,6.892576360875615,6893
229,"Поляны ул., з/у 50Д, д. 18.2, к. 18.2.5",55.516114,37.489985,Бунинская аллея,2.932444011903713,2932
230,"Саларьево дер., к. 20",55.6221133,37.4260893,Саларьево,0.12216644670492739,122
232,"Сосенское пос., вблизи Столбово дер., уч. 40/1, к. 15",55.548935,37.461364,Новомосковская,1.3153856421541825,1315
235,"Филимонковское пос., Марьинская птицефабрика ОАО тер., д. 4",55.565346857982,37.319920762878,Аэропорт Внуково,5.075604483066693,5076
236,"Александры Монаховой ул., к. 6.2.2",55.575435899932,37.471678516582,Коммунарка,0.24117463131033637,241
237,"Сосенское п., Николо-Хованское дер., к. 8.1-8.2",55.604123269974,37.437975430518,Филатов Луг,1.9211428979136993,1921
238,"Александры Монаховой ул., к. 4.1",55.575993591068,37.471047406883,Коммунарка,0.23527873851132605,235
240,"Мосрентген пос., кв-л 24, з/у 1А, к. 3",55.6178,37.4723,Тютчевская,0.56636253667077,566
241,"вблизи Алхимово дер., д. 9",55.475536,37.507628,Бунинская аллея,6.97104217536326,6971
242,"Московский пос., кв-л 70, уч. 78, к. 6  сек. 3 ",55.6021666,37.3466114,Рассказовка,3.628720340657154,3629
244,"Десна дер., к. 9/2.1",55.528488,37.381432,Новомосковская,6.366928132283905,6367
245,"Марушкинское пос., 33 кв-л, уч. 3, д. 3, к. 3.1",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
246,"Столбово дер., з/у 41/1Г, д. 3, к. 3.3",55.562047,37.472027,Новомосковская,0.304388382167917,304
247,"Любучанская ул., к. 21",55.493854,37.523761,Бунинская аллея,4.940270879688136,4940
248,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.6",55.615527,37.482358,Тютчевская,0.3819371007178002,382
251,"Саларьевская ул., з/у 17, к. 83.4",55.613326,37.410726,Саларьево,1.2769896679428432,1277
252,"Николо-Хованское дер., д. 5.2.3",55.59573020581,37.444635982367,Прокшино,1.264939877069642,1265
255,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.3",55.615527,37.482358,Тютчевская,0.3819371007178002,382
256,"Столбово дер., з/у 41/1Г, д. 9, к. 9.4",55.562485,37.469934,Новомосковская,0.26527058840796225,265
257,"Поляны ул., з/у 50Д, д. 18.2, к. 18.2.6",55.610102,37.353629,Рассказовка,2.9133936409372096,2913
258,"Николо-Хованское дер., д. 4.4",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
259,"Дудкино дер., к. 1.1",55.630954,37.454259,Румянцево,0.8075384824685464,808
260,"Филимонковское пос., Марьинская птицефабрика ОАО тер., д. 2",55.565346857982,37.319920762878,Аэропорт Внуково,5.075604483066693,5076
261,"вблизи Николо-Хованское дер., к. 56.1",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
267,"Первый Московский мкр., к. 2  9 оч. ",55.6030466,37.3559853,Филатов Луг,3.25871725890843,3259
268,"Николо-Хованское дер., д. 6.3",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
269,"Николо-Хованское дер., д. 5.2.4",55.59573020581,37.444635982367,Прокшино,1.264939877069642,1265
273,"Сосенское пос., кв-л 26, з/у 3/3, к. 11.2.2",55.615527,37.482358,Тютчевская,0.3819371007178002,382
277,"Филимонковское пос., кв-л 25, з/у 1, к. 3.2",55.5504684,37.32748,Аэропорт Внуково,6.786238191210382,6786
282,"Сосенское пос., Столбово дер., к. 3.2.1",55.551127873305,37.460062257716,Новомосковская,1.0984316745104985,1098
285,"Марушкинское пос., 33 кв-л, уч. 3, д. 3, к. 3.2",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
286,"Столбово дер., з/у 41/1Г, д. 5, к. 5.4",55.562266,37.471174,Новомосковская,0.2842282718615343,284
287,"Эдварда Грига ул., з/у 14Б, д. 37.2, к. 37.2.3",55.555148,37.502543,Потапово,0.6404698429523477,640
289,"Сосенское пос., вблизи Столбово дер., уч. 40/2, к. 18-19",55.548527882141,37.462561317578,Новомосковская,1.3482866532931188,1348
